artist,alphaname,artist_id
Elliott Smith,"Smith, Elliott",2ApaG60P4r0yhBoDCGD8YG
Patti Smith,"Smith, Patti",0vYkHhJ48Bs3jWcvZXvOrP
Soft Machine,Soft Machine,5A0MH7JfEBEMySevsmauds
Sonic Youth,Sonic Youth,5UqTO8smerMvxHYA5xsXb6
Spirit,Spirit,5q9nLsvWwbSUW1kRyhZLAx
Steely Dan,Steely Dan,6P7H3ai06vU1sGvdpBwDmE
Stephen Stills,"Stills, Stephen",4WlSvDKaq1PA2Nr7cCIPxX
Igor Stravinsky,"Stravinsky, Igor",7ie36YytMoKtPiL7tUvmoE
Strawberry Alarm Clock,Strawberry Alarm Clock,1nyQBzKgZ2hBLr7PnyV7cI
Sun Ra,Sun Ra,0tIODqvzGUoEaK26rK4pvX
T. Rex,T. Rex,3dBVyJ7JuOMt4GE9607Qin
Masayoshi Takanaka,"Takanaka, Masayoshi",2Ex4vjQ6mSh5woTlDWto6d
Talking Heads,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC
Tangerine Dream,Tangerine Dream,1BGN1IdyiSR0ZYrkoKNchl
Mick Taylor,"Taylor, Mick",4tkgLX1wdWoOu2lyeQNYAi
Television,Television,0S7Zur2g8YhqlzqtlYStli
Ten Years After,Ten Years After,7nkLRaWHImCvWGHdNGnhVE
Tinariwen,Tinariwen,2sf2owtFSCvz2MLfxmNdkb
Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e
Traffic,Traffic,1CD77o9fbdyQFrHnUPUEsF
Traveling Wilburys,Traveling Wilburys,2hO4YtXUFJiUYS2uYFvHNK
Triumvirat,Triumvirat,3lnV6khgTreN8QiqtSAAgW
UFO,UFO,2Omy3P5hFZym7FKum1JA1s
Ultimate Spinach,Ultimate Spinach,38ULknnQK6G4oLJtTtPkkM
Umphrey's McGee,Umphrey's McGee,7mQilAy42MqNPqUFqK4Z0o
Van Der Graaf Generator,Van Der Graaf Generator,02frazNrWgZCxUEf4UTfHt
Van Halen,Van Halen,2cnMpRsOVqtPMfq7YiFE6K
Vangelis,Vangelis,4P70aqttdpJ9vuYFDmf7f6
Eddie Vedder,"Vedder, Eddie",0mXTJETA4XUa12MmmXxZJh
The Velvet Underground,"Velvet Underground, The",1nJvji2KIlWSseXRSlNYsC
Tom Waits,"Waits, Tom",7x83XhcMbOTl1UdYsPTuZM
Weather Report,Weather Report,162DCkd8aDKwvjBb74Gu8b
The Who,"Who, The",67ea9eGLXYMsO2eYQRui3w
Ronnie Wood,"Wood, Ronnie",5HFtQOrPHOFptM1WF9xPuK
Wooden Shjips,Wooden Shjips,35rFgnhlSSYflP4HpC3JM0
The Yardbirds,"Yardbirds, The",2lxX1ivRYp26soIavdG9bX
Yes,Yes,7AC976RDJzL2asmZuz7qil
Neil Young,"Young, Neil",6v8FB84lnmJs434UJf2Mrm
ZZ Top,ZZ Top,2AM4ilv6UzW0uMRuqKtDgN
Frank Zappa,"Zappa, Frank",6ra4GIOgCZQZMOaUECftGN
The Zodiac,"Zodiac, The",6WjwK23EyMwi19waNsrjwz
Zucchero,Zucchero,2KftmGt9sk1yLjsAoloC3M
Zupfgeigenhansel,Zupfgeigenhansel,2aszSUPRu3IJLXmbEdyTk4
