artist,alphaname,artist_id,genres
Thelonious Monk,"Monk, Thelonious",4PDpGtF16XpqvXxsrFwQnN,Jazz/Bebop/Hard Bop/Cool Jazz
Lee Morgan,"Morgan, Lee",38C3okxv3fyyOIQUVPCdGX,Hard Bop/Jazz/Bebop/Cool Jazz
Ennio Morricone,"Morricone, Ennio",1nIUhcKHnK6iyumRyoV68C,Soundtrack
Jim Morrison,"Morrison, Jim",1QB4oo4JbSRdxNyidIuD0W,Psychedelic Rock/Spoken Word/Acid Rock
Van Morrison,"Morrison, Van",44NX2ffIYHr6D4n7RaZF7A,
The Mothers Of Invention,"Mothers Of Invention, The",3P2gYnypDVi90ZavnaAhfL,Progressive Rock/Art Rock/Psychedelic Rock/Avant-garde/Acid Rock
Museo Rosenbach,Museo Rosenbach,4RWamjGtVScGN2kfuoOm7V,Progressive Rock/Art Rock/Symphonic Rock/Krautrock
Gianna Nannini,"Nannini, Gianna",0h0p7RkMjCUMdcf0nXmHjX,Italo Dance/Italian Singer-songwriter
Napoli Centrale,Napoli Centrale,4kNBFzbIZQn9Id0P9RWc5t,Canzone Napoletana/Progressive Rock
Natural Child,Natural Child,7epIIT85VR8OEggqKO3RSt,
New Trolls,New Trolls,5RN8L3RHQZ87m7gNWUyFmu,Progressive Rock/Italian Singer-songwriter
Janko Nilovic,"Nilovic, Janko",44w54ag6mZjclpEET3ROf9,Jazz Funk
Le Orme,"Orme, Le",45Utoxop3UFq0Qg9YFLhx0,Progressive Rock/Symphonic Rock/Art Rock
Ozric Tentacles,Ozric Tentacles,0Iv00ucAIqr5KVS7bXGFa9,Space Rock/Progressive Rock/Psychedelic Rock/Krautrock/Acid Rock
P.F.M.,P.F.M.,69JBLod15WPsmZioUkwA4r,Progressive Rock/Art Rock/Symphonic Rock
Premiata Forneria Marconi,Premiata Forneria Marconi,1MD5pgVzlusqGyuSTcTxvu,Progressive Rock/Italian Singer-songwriter/Symphonic Rock/Art Rock
Jimmy Page,"Page, Jimmy",55bGuHb50r5c0PeqqMeNBV,Blues Rock
The Paul Butterfield Blues Band,"Paul Butterfield Blues Band, The",6kz7WuPaUa4QVreP27I33i,Blues/Blues Rock/Classic Blues
Pearl Jam,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,Grunge/Rock
Tom Petty,"Petty, Tom",2UZMlIwnkgAEDBsw1Rejkn,Classic Rock
Pink Floyd,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,Progressive Rock/Psychedelic Rock/Classic Rock/Symphonic Rock/Art Rock/Rock
The Police,"Police, The",5NGO30tJxFlKixkPSgXcFE,
Jean-Luc Ponty,"Ponty, Jean-Luc",3SInttLnvf5G4Aa95aAYPr,Jazz Fusion/Progressive Rock/French Jazz/Jazz
The Pretty Things,"Pretty Things, The",5U16QlMnlSAhkQxBZpLyLO,Psychedelic Rock/Acid Rock/Proto-punk/Garage Rock/Psychedelic Pop
Psychic Ills,Psychic Ills,0BdrIHWUDg179f9H7pjJMC,Psychedelic Rock/Space Rock
